pid,vid,sid,mode,compile,dev_test,reg_test
Chart,10,1,normal,1,1,1
Chart,10,2,normal,1,1,1
Chart,10,3,normal,1,1,1
Chart,10,4,normal,1,1,1
Chart,10,5,normal,1,1,1
Chart,10,1,time,1,1,1
Chart,10,2,time,1,1,1
Chart,10,3,time,1,1,1
Chart,10,4,time,1,1,1
Chart,10,5,time,1,1,1
Chart,10,1,mem,1,1,1
Chart,10,2,mem,1,1,1
Chart,10,3,mem,1,1,1
Chart,10,4,mem,1,1,1
Chart,10,5,mem,1,1,1
Chart,11,1,normal,1,1,1
Chart,11,2,normal,1,1,1
Chart,11,3,normal,1,1,1
Chart,11,4,normal,1,1,0
Chart,11,5,normal,1,1,1
Chart,11,1,time,1,1,1
Chart,11,2,time,1,0,0
Chart,11,3,time,1,1,0
Chart,11,4,time,0,0,0
Chart,11,5,time,1,1,1
Chart,11,1,mem,1,1,0
Chart,11,2,mem,1,1,0
Chart,11,3,mem,1,1,1
Chart,11,4,mem,1,0,0
Chart,11,5,mem,1,1,0
Chart,12,1,normal,0,0,0
Chart,12,2,normal,1,1,1
Chart,12,3,normal,0,0,0
Chart,12,4,normal,1,1,1
Chart,12,5,normal,0,0,0
Chart,12,1,time,1,0,1
Chart,12,2,time,0,0,0
Chart,12,3,time,1,1,1
Chart,12,4,time,0,0,0
Chart,12,5,time,1,1,1
Chart,12,1,mem,1,1,1
Chart,12,2,mem,0,0,0
Chart,12,3,mem,0,0,0
Chart,12,4,mem,1,1,1
Chart,12,5,mem,1,0,1
Chart,1,1,normal,1,1,0
Chart,1,2,normal,1,1,0
Chart,1,3,normal,0,0,0
Chart,1,4,normal,0,0,0
Chart,1,5,normal,1,1,0
Chart,1,1,time,1,1,0
Chart,1,2,time,1,1,0
Chart,1,3,time,1,1,0
Chart,1,4,time,1,1,0
Chart,1,5,time,1,1,0
Chart,1,1,mem,0,0,0
Chart,1,2,mem,1,1,0
Chart,1,3,mem,1,1,0
Chart,1,4,mem,1,1,0
Chart,1,5,mem,1,1,0
Chart,20,1,normal,1,1,1
Chart,20,2,normal,1,1,1
Chart,20,3,normal,1,1,1
Chart,20,4,normal,1,1,1
Chart,20,5,normal,1,1,1
Chart,20,1,time,1,1,1
Chart,20,2,time,1,1,1
Chart,20,3,time,1,1,1
Chart,20,4,time,1,1,1
Chart,20,5,time,1,1,1
Chart,20,1,mem,0,0,0
Chart,20,2,mem,1,1,1
Chart,20,3,mem,1,1,1
Chart,20,4,mem,1,1,1
Chart,20,5,mem,1,1,1
Chart,23,1,normal,1,1,0
Chart,23,2,normal,1,0,1
Chart,23,3,normal,1,1,0
Chart,23,4,normal,1,0,1
Chart,23,5,normal,1,1,0
Chart,23,1,time,0,0,0
Chart,23,2,time,1,0,1
Chart,23,3,time,1,0,1
Chart,23,4,time,1,0,1
Chart,23,5,time,1,0,1
Chart,23,1,mem,1,0,1
Chart,23,2,mem,0,0,0
Chart,23,3,mem,1,1,0
Chart,23,4,mem,1,0,1
Chart,23,5,mem,1,0,1
Chart,24,1,normal,1,1,1
Chart,24,2,normal,1,1,1
Chart,24,3,normal,1,1,1
Chart,24,4,normal,1,1,1
Chart,24,5,normal,1,1,1
Chart,24,1,time,1,1,1
Chart,24,2,time,1,1,1
Chart,24,3,time,1,1,1
Chart,24,4,time,1,1,1
Chart,24,5,time,1,1,1
Chart,24,1,mem,1,1,1
Chart,24,2,mem,1,1,1
Chart,24,3,mem,1,1,1
Chart,24,4,mem,0,0,0
Chart,24,5,mem,1,1,1
Chart,3,1,normal,0,0,0
Chart,3,2,normal,1,0,0
Chart,3,3,normal,0,0,0
Chart,3,4,normal,0,0,0
Chart,3,5,normal,0,0,0
Chart,3,1,time,0,0,0
Chart,3,2,time,0,0,0
Chart,3,3,time,0,0,0
Chart,3,4,time,0,0,0
Chart,3,5,time,0,0,0
Chart,3,1,mem,1,0,0
Chart,3,2,mem,0,0,0
Chart,3,3,mem,0,0,0
Chart,3,4,mem,0,0,0
Chart,3,5,mem,0,0,0
Chart,6,1,normal,1,1,1
Chart,6,2,normal,0,0,0
Chart,6,3,normal,1,1,1
Chart,6,4,normal,1,1,1
Chart,6,5,normal,1,1,1
Chart,6,1,time,1,0,1
Chart,6,2,time,1,1,1
Chart,6,3,time,1,1,1
Chart,6,4,time,1,1,1
Chart,6,5,time,1,1,1
Chart,6,1,mem,1,1,1
Chart,6,2,mem,1,0,0
Chart,6,3,mem,1,1,1
Chart,6,4,mem,1,1,1
Chart,6,5,mem,1,1,1
Chart,7,1,normal,1,1,1
Chart,7,2,normal,0,0,0
Chart,7,3,normal,1,0,0
Chart,7,4,normal,1,0,0
Chart,7,5,normal,1,1,1
Chart,7,1,time,0,0,0
Chart,7,2,time,1,1,1
Chart,7,3,time,1,1,1
Chart,7,4,time,1,1,1
Chart,7,5,time,0,0,0
Chart,7,1,mem,0,0,0
Chart,7,2,mem,1,1,1
Chart,7,3,mem,1,1,1
Chart,7,4,mem,1,1,1
Chart,7,5,mem,1,1,1
Chart,8,1,normal,0,0,0
Chart,8,2,normal,0,0,0
Chart,8,3,normal,1,1,1
Chart,8,4,normal,1,1,1
Chart,8,5,normal,0,0,0
Chart,8,1,time,1,1,1
Chart,8,2,time,0,0,0
Chart,8,3,time,1,1,1
Chart,8,4,time,1,1,1
Chart,8,5,time,1,1,1
Chart,8,1,mem,0,0,0
Chart,8,2,mem,0,0,0
Chart,8,3,mem,1,1,1
Chart,8,4,mem,0,0,0
Chart,8,5,mem,0,0,0
Compress,12,1,normal,0,0,0
Compress,12,2,normal,0,0,0
Compress,12,3,normal,1,1,1
Compress,12,4,normal,1,1,1
Compress,12,5,normal,1,1,1
Compress,12,1,time,1,1,1
Compress,12,2,time,1,1,1
Compress,12,3,time,0,0,0
Compress,12,4,time,1,1,1
Compress,12,5,time,1,1,1
Compress,12,1,mem,0,0,0
Compress,12,2,mem,0,0,0
Compress,12,3,mem,1,1,1
Compress,12,4,mem,1,1,1
Compress,12,5,mem,0,0,0
Compress,13,1,normal,1,1,1
Compress,13,2,normal,1,1,1
Compress,13,3,normal,1,1,1
Compress,13,4,normal,1,1,1
Compress,13,5,normal,1,0,1
Compress,13,1,time,1,1,1
Compress,13,2,time,1,1,1
Compress,13,3,time,1,1,1
Compress,13,4,time,1,1,1
Compress,13,5,time,1,1,1
Compress,13,1,mem,1,1,1
Compress,13,2,mem,1,1,1
Compress,13,3,mem,1,1,1
Compress,13,4,mem,1,1,1
Compress,13,5,mem,1,1,1
Compress,14,1,normal,1,1,1
Compress,14,2,normal,1,1,1
Compress,14,3,normal,1,1,1
Compress,14,4,normal,1,1,1
Compress,14,5,normal,1,0,0
Compress,14,1,time,1,1,1
Compress,14,2,time,1,1,1
Compress,14,3,time,1,1,1
Compress,14,4,time,1,1,1
Compress,14,5,time,1,1,1
Compress,14,1,mem,1,1,1
Compress,14,2,mem,1,1,1
Compress,14,3,mem,1,1,1
Compress,14,4,mem,1,0,0
Compress,14,5,mem,1,0,0
Compress,15,1,normal,1,0,0
Compress,15,2,normal,1,1,1
Compress,15,3,normal,1,1,1
Compress,15,4,normal,1,1,0
Compress,15,5,normal,1,1,1
Compress,15,1,time,1,0,0
Compress,15,2,time,1,1,1
Compress,15,3,time,1,0,0
Compress,15,4,time,1,1,1
Compress,15,5,time,1,0,0
Compress,15,1,mem,1,1,1
Compress,15,2,mem,1,0,0
Compress,15,3,mem,1,0,0
Compress,15,4,mem,0,0,0
Compress,15,5,mem,0,0,0
Compress,16,1,normal,0,0,0
Compress,16,2,normal,1,0,1
Compress,16,3,normal,0,0,0
Compress,16,4,normal,1,1,1
Compress,16,5,normal,1,0,1
Compress,16,1,time,0,0,0
Compress,16,2,time,0,0,0
Compress,16,3,time,0,0,0
Compress,16,4,time,0,0,0
Compress,16,5,time,0,0,0
