pid,vid,sid,mode,fixed_dev_mem,llm_dev_mem,fixed_reg_mem,llm_reg_mem
Chart,10,1,normal,1417561.6,1387379.2,59212.8,57870.4
Chart,10,2,normal,1401793.6,1311702.4,60900.8,59296.0
Chart,10,3,normal,1598836.8,1299147.2,59252.8,59348.8
Chart,10,4,normal,1231368.0,1376700.8,51420.8,59534.4
Chart,10,5,normal,1456460.8,1345985.6,56062.4,59747.2
Chart,10,1,time,1328971.2,1308268.8,59214.4,59571.2
Chart,10,2,time,1326937.6,1399572.8,59190.4,61318.4
Chart,10,3,time,1318182.4,1343072.0,70614.4,57710.4
Chart,10,4,time,1193216.0,1241785.6,62489.6,56411.2
Chart,10,5,time,1463251.2,1419603.2,60849.6,54555.2
Chart,10,1,mem,1302028.8,1526692.8,59137.6,57804.8
Chart,10,2,mem,1271459.2,1549905.6,62536.0,59520.0
Chart,10,3,mem,1533668.8,1385392.0,60862.4,60857.6
Chart,10,4,mem,1461387.2,1390936.0,60910.4,61211.2
Chart,10,5,mem,1394260.8,1358358.4,62633.6,61022.4
Chart,11,1,normal,1245100.8,1435028.8,112708.8,118049.6
Chart,11,2,normal,1503009.6,1344219.2,114300.8,115752.0
Chart,11,3,normal,1505059.2,1321267.2,113147.2,116264.0
Chart,11,4,normal,1369395.2,1321984.0,0.0,0.0
Chart,11,5,normal,1356156.8,1302740.8,111123.2,114675.2
Chart,11,1,time,1626166.4,1385788.8,113683.2,119380.8
Chart,11,2,time,0.0,0.0,0.0,0.0
Chart,11,3,time,1350646.4,1205846.4,0.0,0.0
Chart,11,4,time,0.0,0.0,0.0,0.0
Chart,11,5,time,1326699.2,1361779.2,109980.8,98145.6
Chart,11,1,mem,1408512.0,1342835.2,0.0,0.0
Chart,11,2,mem,1175235.2,1380662.4,0.0,0.0
Chart,11,3,mem,1389393.6,1325625.6,110270.4,118643.2
Chart,11,4,mem,0.0,0.0,0.0,0.0
Chart,11,5,mem,1456750.4,1343246.4,0.0,0.0
Chart,12,1,normal,0.0,0.0,0.0,0.0
Chart,12,2,normal,1351817.6,1386568.0,171950.4,156307.2
Chart,12,3,normal,0.0,0.0,0.0,0.0
Chart,12,4,normal,1455864.0,1375483.2,183596.8,135979.2
Chart,12,5,normal,0.0,0.0,0.0,0.0
Chart,12,1,time,0.0,0.0,158084.8,134190.4
Chart,12,2,time,0.0,0.0,0.0,0.0
Chart,12,3,time,1202924.8,1309772.8,173731.2,126694.4
Chart,12,4,time,0.0,0.0,0.0,0.0
Chart,12,5,time,1472579.2,1516649.6,178236.8,185040.0
Chart,12,1,mem,1251763.2,1363809.6,173580.8,168214.4
Chart,12,2,mem,0.0,0.0,0.0,0.0
Chart,12,3,mem,0.0,0.0,0.0,0.0
Chart,12,4,mem,1206120.0,1396921.6,163686.4,188560.0
Chart,12,5,mem,0.0,0.0,175721.6,131659.2
Chart,1,1,normal,2017897.6,2423200.0,0.0,0.0
Chart,1,2,normal,2179904.0,2644083.2,0.0,0.0
Chart,1,3,normal,0.0,0.0,0.0,0.0
Chart,1,4,normal,0.0,0.0,0.0,0.0
Chart,1,5,normal,2290953.6,2351409.6,0.0,0.0
Chart,1,1,time,2654320.0,2368867.2,0.0,0.0
Chart,1,2,time,2217792.0,2269496.0,0.0,0.0
Chart,1,3,time,2269246.4,2053604.8,0.0,0.0
Chart,1,4,time,2412244.8,2399723.2,0.0,0.0
Chart,1,5,time,2420099.2,1974518.4,0.0,0.0
Chart,1,1,mem,0.0,0.0,0.0,0.0
Chart,1,2,mem,2403891.2,2490259.2,0.0,0.0
Chart,1,3,mem,2254515.2,2033516.8,0.0,0.0
Chart,1,4,mem,2304252.8,1901438.4,0.0,0.0
Chart,1,5,mem,2083091.2,2521953.6,0.0,0.0
Chart,20,1,normal,1246001.6,1216902.4,77849.6,75582.4
Chart,20,2,normal,1265782.4,1307236.8,78732.8,90824.0
Chart,20,3,normal,1437131.2,1183275.2,72630.4,77158.4
Chart,20,4,normal,1247529.6,1433516.8,72076.8,94206.4
Chart,20,5,normal,1243910.4,1267096.0,76771.2,87425.6
Chart,20,1,time,1134782.4,1227100.8,66364.8,98516.8
Chart,20,2,time,1256139.2,1178600.0,80721.6,94190.4
Chart,20,3,time,1358564.8,1209723.2,72996.8,64737.6
Chart,20,4,time,1172676.8,1280516.8,89761.6,78505.6
Chart,20,5,time,1229971.2,1293318.4,75145.6,83996.8
Chart,20,1,mem,0.0,0.0,0.0,0.0
Chart,20,2,mem,1307038.4,1192788.8,87302.4,90912.0
Chart,20,3,mem,1205017.6,1489712.0,89636.8,90323.2
Chart,20,4,mem,1306008.0,1480932.8,77716.8,76020.8
Chart,20,5,mem,1245763.2,1365793.6,70806.4,64521.6
Chart,23,1,normal,1197436.8,452723.2,0.0,0.0
Chart,23,2,normal,0.0,0.0,134502.4,748313.6
Chart,23,3,normal,1319539.2,428462.4,0.0,0.0
Chart,23,4,normal,0.0,0.0,148715.2,726097.6
Chart,23,5,normal,1252704.0,564160.0,0.0,0.0
Chart,23,1,time,0.0,0.0,0.0,0.0
Chart,23,2,time,0.0,0.0,152044.8,795568.0
Chart,23,3,time,0.0,0.0,138713.6,576808.0
Chart,23,4,time,0.0,0.0,132260.8,681272.0
Chart,23,5,time,0.0,0.0,148881.6,720648.0
Chart,23,1,mem,0.0,0.0,150728.0,554201.6
Chart,23,2,mem,0.0,0.0,0.0,0.0
Chart,23,3,mem,1152505.6,343033.6,0.0,0.0
Chart,23,4,mem,0.0,0.0,142494.4,705945.6
Chart,23,5,mem,0.0,0.0,145633.6,413120.0
Chart,24,1,normal,1398552.0,1363041.6,43592.0,43689.6
Chart,24,2,normal,1382268.8,1294819.2,43592.0,45462.4
Chart,24,3,normal,1233843.2,1100864.0,43964.8,43504.0
Chart,24,4,normal,1258420.8,1160992.0,43916.8,42539.2
Chart,24,5,normal,1441332.8,1438120.0,44427.2,40484.8
Chart,24,1,time,1354995.2,1409835.2,43787.2,42140.8
Chart,24,2,time,1309363.2,1290323.2,45336.0,40513.6
Chart,24,3,time,1163929.6,1304926.4,43513.6,43865.6
Chart,24,4,time,1259409.6,1406249.6,43889.6,44048.0
Chart,24,5,time,1360424.0,1307099.2,43531.2,43584.0
Chart,24,1,mem,1383873.6,1286363.2,43692.8,43523.2
Chart,24,2,mem,1310720.0,1449723.2,43721.6,42604.8
Chart,24,3,mem,1277688.0,1161600.0,42000.0,43641.6
Chart,24,4,mem,0.0,0.0,0.0,0.0
Chart,24,5,mem,1365940.8,1315352.0,43928.0,43744.0
Chart,3,1,normal,0.0,0.0,0.0,0.0
Chart,3,2,normal,0.0,0.0,0.0,0.0
