pid,vid,sid,mode,fixed_dev_time,llm_dev_time,fixed_reg_time,llm_reg_time
Chart,10,1,normal,9.304973459243774,9.33677864074707,2.434899616241455,2.376097869873047
Chart,10,2,normal,9.480021333694458,9.198119831085204,2.402661657333374,2.3847204208374024
Chart,10,3,normal,9.235013961791992,9.268964862823486,2.3640309810638427,2.392473840713501
Chart,10,4,normal,9.203593873977661,9.275503349304199,2.3654268264770506,2.3653523445129396
Chart,10,5,normal,9.382150173187256,9.228061151504516,2.390048694610596,2.377902698516846
Chart,10,1,time,9.259912204742431,9.363511228561402,2.3743169784545897,2.3674251556396486
Chart,10,2,time,9.378769969940185,9.628207111358643,2.380716323852539,2.3968558311462402
Chart,10,3,time,9.315749979019165,9.338707685470581,2.368027400970459,2.4016062736511232
Chart,10,4,time,9.384175491333007,9.218803596496581,2.3953297615051268,2.3718478202819826
Chart,10,5,time,9.264113235473634,9.238248109817505,2.375220203399658,2.384287405014038
Chart,10,1,mem,9.377704095840453,9.217406606674194,2.4026087284088136,2.379681921005249
Chart,10,2,mem,9.209185981750489,9.287129735946655,2.3730044841766356,2.3652345657348635
Chart,10,3,mem,9.31408200263977,9.31254768371582,2.373741102218628,2.3794010639190675
Chart,10,4,mem,9.368310546875,9.323828840255738,2.3863012313842775,2.390306854248047
Chart,10,5,mem,9.251132440567016,9.271909379959107,2.397750806808472,2.3701713562011717
Chart,11,1,normal,9.31527156829834,9.29487886428833,2.861263370513916,2.8331553459167482
Chart,11,2,normal,9.363769626617431,9.32856731414795,2.8521105289459228,2.8438263893127442
Chart,11,3,normal,9.293702602386475,9.248627090454102,2.8341716289520265,2.8613700389862062
Chart,11,4,normal,9.23788766860962,9.31404447555542,0.0,0.0
Chart,11,5,normal,9.296363878250123,9.330791330337524,2.8710031032562258,2.8468343734741213
Chart,11,1,time,9.359452152252198,9.23787589073181,2.8414101600646973,2.8195454597473146
Chart,11,2,time,0.0,0.0,0.0,0.0
Chart,11,3,time,9.262018394470214,9.283958911895752,0.0,0.0
Chart,11,4,time,0.0,0.0,0.0,0.0
Chart,11,5,time,9.525440692901611,9.2057053565979,2.8362192630767824,2.849520969390869
